zip_code	MSA_number	MSA_name
68629	99027	NE NONMETROPOLITAN AREA
68631	99027	NE NONMETROPOLITAN AREA
68632	99027	NE NONMETROPOLITAN AREA
68633	99027	NE NONMETROPOLITAN AREA
68634	99027	NE NONMETROPOLITAN AREA
68635	99027	NE NONMETROPOLITAN AREA
68636	99027	NE NONMETROPOLITAN AREA
68637	99027	NE NONMETROPOLITAN AREA
68638	99027	NE NONMETROPOLITAN AREA
68640	99027	NE NONMETROPOLITAN AREA
68641	99027	NE NONMETROPOLITAN AREA
68642	99027	NE NONMETROPOLITAN AREA
68643	99027	NE NONMETROPOLITAN AREA
68644	99027	NE NONMETROPOLITAN AREA
68647	99027	NE NONMETROPOLITAN AREA
68648	36540	Omaha-Council Bluffs, NE-IA MSA
68649	99027	NE NONMETROPOLITAN AREA
68651	99027	NE NONMETROPOLITAN AREA
68652	99027	NE NONMETROPOLITAN AREA
68653	99027	NE NONMETROPOLITAN AREA
68654	99027	NE NONMETROPOLITAN AREA
68655	99027	NE NONMETROPOLITAN AREA
68658	99027	NE NONMETROPOLITAN AREA
68659	99027	NE NONMETROPOLITAN AREA
68660	99027	NE NONMETROPOLITAN AREA
68661	99027	NE NONMETROPOLITAN AREA
68662	99027	NE NONMETROPOLITAN AREA
68663	99027	NE NONMETROPOLITAN AREA
68664	99027	NE NONMETROPOLITAN AREA
68665	99027	NE NONMETROPOLITAN AREA
68666	99027	NE NONMETROPOLITAN AREA
68667	99027	NE NONMETROPOLITAN AREA
68669	99027	NE NONMETROPOLITAN AREA
68701	99027	NE NONMETROPOLITAN AREA
68702	99027	NE NONMETROPOLITAN AREA
68710	43580	Sioux City, IA-NE-SD MSA
68711	99027	NE NONMETROPOLITAN AREA
68713	99027	NE NONMETROPOLITAN AREA
68714	99027	NE NONMETROPOLITAN AREA
68715	99027	NE NONMETROPOLITAN AREA
68716	99027	NE NONMETROPOLITAN AREA
68717	99027	NE NONMETROPOLITAN AREA
68718	99027	NE NONMETROPOLITAN AREA
68719	99027	NE NONMETROPOLITAN AREA
68720	99027	NE NONMETROPOLITAN AREA
68722	99027	NE NONMETROPOLITAN AREA
68723	99027	NE NONMETROPOLITAN AREA
68724	99027	NE NONMETROPOLITAN AREA
68725	99027	NE NONMETROPOLITAN AREA
68726	99027	NE NONMETROPOLITAN AREA
68727	99027	NE NONMETROPOLITAN AREA
68728	43580	Sioux City, IA-NE-SD MSA
68729	99027	NE NONMETROPOLITAN AREA
68730	99027	NE NONMETROPOLITAN AREA
68731	43580	Sioux City, IA-NE-SD MSA
68732	43580	Sioux City, IA-NE-SD MSA
68733	43580	Sioux City, IA-NE-SD MSA
68734	99027	NE NONMETROPOLITAN AREA
68735	99027	NE NONMETROPOLITAN AREA
68736	99027	NE NONMETROPOLITAN AREA
68737	99027	NE NONMETROPOLITAN AREA
68738	99027	NE NONMETROPOLITAN AREA
68739	99027	NE NONMETROPOLITAN AREA
68740	99027	NE NONMETROPOLITAN AREA
68741	43580	Sioux City, IA-NE-SD MSA
68742	99027	NE NONMETROPOLITAN AREA
68743	43580	Sioux City, IA-NE-SD MSA
68745	99027	NE NONMETROPOLITAN AREA
68746	99027	NE NONMETROPOLITAN AREA
68747	99027	NE NONMETROPOLITAN AREA
68748	99027	NE NONMETROPOLITAN AREA
68749	99027	NE NONMETROPOLITAN AREA
68751	43580	Sioux City, IA-NE-SD MSA
68752	99027	NE NONMETROPOLITAN AREA
68753	99027	NE NONMETROPOLITAN AREA
68755	99027	NE NONMETROPOLITAN AREA
